state,food
AL,0
AK,0
AZ,7
AR,0
CA,17
CO,2
CT,0
DE,0
DC,2
FL,0
GA,1
HI,1
ID,2
IL,0
IN,0
IA,0
KS,0
KY,0
LA,0
ME,0
MD,1
MA,0
MI,5
MN,0
MS,0
MO,0
MT,0
NE,0
NV,0
NH,4
NJ,0
NM,5
NY,0
NC,1
ND,3
OH,0
OK,0
OR,0
PA,0
RI,0
SC,0
SD,0
TN,0
TX,1
UT,0
VT,14
VA,0
WA,0
WV,1
WI,0
WY,0
